0.000000e+00 1.374000e+02
2.000000e+00 1.372626e+02 1.235363e+02
4.000000e+00 1.372489e+02 1.235240e+02
6.000000e+00 1.372351e+02 1.235116e+02
8.000000e+00 1.372008e+02 1.234808e+02
1.000000e+01 1.371665e+02 1.234499e+02
1.200000e+01 1.371117e+02 1.234005e+02
1.400000e+01 1.370568e+02 1.233511e+02
1.600000e+01 1.370020e+02 1.233018e+02
1.800000e+01 1.369267e+02 1.232340e+02
2.000000e+01 1.368513e+02 1.231662e+02
2.200000e+01 1.367555e+02 1.230800e+02
2.400000e+01 1.366598e+02 1.229938e+02
2.600000e+01 1.365642e+02 1.229077e+02
2.800000e+01 1.364481e+02 1.228033e+02
3.000000e+01 1.363321e+02 1.226989e+02
3.200000e+01 1.361958e+02 1.225762e+02
3.400000e+01 1.360596e+02 1.224536e+02
3.600000e+01 1.359031e+02 1.223128e+02
3.800000e+01 1.357468e+02 1.221721e+02
4.000000e+01 1.355907e+02 1.220316e+02
4.200000e+01 1.354144e+02 1.218730e+02
4.400000e+01 1.352384e+02 1.217146e+02
4.600000e+01 1.350423e+02 1.215381e+02
4.800000e+01 1.348465e+02 1.213618e+02
5.000000e+01 1.346510e+02 1.211859e+02
5.200000e+01 1.344355e+02 1.209920e+02
5.400000e+01 1.342003e+02 1.207802e+02
5.600000e+01 1.339654e+02 1.205689e+02
5.800000e+01 1.337310e+02 1.203579e+02
6.000000e+01 1.334769e+02 1.201292e+02
6.200000e+01 1.332233e+02 1.199009e+02
6.400000e+01 1.329502e+02 1.196552e+02
6.600000e+01 1.326776e+02 1.194099e+02
6.800000e+01 1.323857e+02 1.191472e+02
7.000000e+01 1.320945e+02 1.188850e+02
7.200000e+01 1.318039e+02 1.186235e+02
7.400000e+01 1.314744e+02 1.183269e+02
7.600000e+01 1.311654e+02 1.180489e+02
7.800000e+01 1.308375e+02 1.177537e+02
8.000000e+01 1.304908e+02 1.174417e+02
8.200000e+01 1.301450e+02 1.171305e+02
8.400000e+01 1.297806e+02 1.168025e+02
8.600000e+01 1.294172e+02 1.164755e+02
8.800000e+01 1.290354e+02 1.161319e+02
9.000000e+01 1.286547e+02 1.157893e+02
9.200000e+01 1.282559e+02 1.154303e+02
9.400000e+01 1.278583e+02 1.150725e+02
9.600000e+01 1.274428e+02 1.146985e+02
9.800000e+01 1.270095e+02 1.143085e+02
1.000000e+02 1.265776e+02 1.139199e+02
1.020000e+02 1.261283e+02 1.135155e+02
1.040000e+02 1.256805e+02 1.131125e+02
1.060000e+02 1.252155e+02 1.126940e+02
1.080000e+02 1.247522e+02 1.122770e+02
1.100000e+02 1.242532e+02 1.118279e+02
1.120000e+02 1.237748e+02 1.113973e+02
1.140000e+02 1.232612e+02 1.109350e+02
1.160000e+02 1.227496e+02 1.104747e+02
1.180000e+02 1.222218e+02 1.099996e+02
1.200000e+02 1.216963e+02 1.095266e+02
1.220000e+02 1.211547e+02 1.090392e+02
1.240000e+02 1.205974e+02 1.085377e+02
1.260000e+02 1.200246e+02 1.080221e+02
1.280000e+02 1.194544e+02 1.075090e+02
1.300000e+02 1.188691e+02 1.069822e+02
1.320000e+02 1.182688e+02 1.064419e+02
1.340000e+02 1.176538e+02 1.058884e+02
1.360000e+02 1.170420e+02 1.053378e+02
1.380000e+02 1.164159e+02 1.047743e+02
1.400000e+02 1.157756e+02 1.041980e+02
1.420000e+02 1.151214e+02 1.036093e+02
1.440000e+02 1.144537e+02 1.030084e+02
1.460000e+02 1.137899e+02 1.024109e+02
1.480000e+02 1.130958e+02 1.017862e+02
1.500000e+02 1.124059e+02 1.011653e+02
1.520000e+02 1.116865e+02 1.005178e+02
1.540000e+02 1.109717e+02 9.987453e+01
1.560000e+02 1.102448e+02 9.922036e+01
1.580000e+02 1.094897e+02 9.854070e+01
1.600000e+02 1.087397e+02 9.786569e+01
1.620000e+02 1.079785e+02 9.718063e+01
1.640000e+02 1.071902e+02 9.647121e+01
1.660000e+02 1.064077e+02 9.576697e+01
1.680000e+02 1.055990e+02 9.503914e+01
1.700000e+02 1.047807e+02 9.430259e+01
1.720000e+02 1.039529e+02 9.355760e+01
